run,method,scenario,seed,status,error,path,stage,seconds,cpu_seconds,samples,cpu_core_percent_mean,cpu_core_percent_peak,rss_mb_mean,rss_mb_peak,gpu_global_percent_mean,gpu_global_percent_peak,gpu_process_mb_mean,gpu_process_mb_peak
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,read_data,0.01619193097576499,0.01000000000000012,0,,,,,,,,
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,build_model,0.00027498602867126465,1.1102230246251565e-16,0,,,,,,,,
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,extract_features,14.88015128299594,14.94,74,100.29729729729732,104.6,398.0671584864865,398.675968,32.7972972972973,61.0,0.0,0.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,fit,0.3279402049956843,1.2899999999999994,1,349.0,349.0,429.981696,429.981696,23.0,23.0,0.0,0.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,save_model,0.01418114302214235,0.06999999999999962,0,,,,,,,,
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,warmup,0.056417003041133285,0.2200000000000033,1,400.4,400.4,434.62656,434.62656,34.0,34.0,0.0,0.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,evaluate_train,14.25698371999897,14.329999999999995,69,101.1231884057971,158.4,434.6869908405798,434.868224,32.63768115942029,58.0,0.0,0.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,prepare_val_clean,0.004504104959778488,0.010000000000002895,0,,,,,,,,
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,evaluate_val_clean,9.21119100798387,9.239999999999997,45,100.34888888888888,104.6,471.4769066666666,488.251392,45.17777777777778,55.0,0.0,0.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,prepare_test_clean,0.004875037935562432,0.009999999999994902,0,,,,,,,,
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,evaluate_test_clean,9.166636805050075,9.200000000000006,45,100.21333333333334,105.2,510.98765084444443,527.634432,46.666666666666664,63.0,0.0,0.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,inference_batch1,0.9340201419545338,0.9299999999999988,5,100.12,103.4,520.82688,520.82688,49.2,52.0,0.0,0.0
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,explanations,0.0003550120163708925,-8.881784197001252e-16,0,,,,,,,,
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,read_data,0.015797334956005216,0.019999999999999962,0,,,,,,,,
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,build_model,0.00027822295669466257,-5.551115123125783e-17,0,,,,,,,,
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,extract_features,15.369825746980496,15.41,76,100.33289473684214,104.6,396.4671461052631,397.029376,39.46052631578947,67.0,0.0,0.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,fit,0.37422498397063464,1.4899999999999975,2,306.29999999999995,393.4,429.78713600000003,434.54464,34.0,34.0,0.0,0.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,save_model,0.014432372059673071,0.06000000000000205,0,,,,,,,,
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,warmup,0.07029327098280191,0.27999999999999736,0,,,,,,,,
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,evaluate_train,15.158815291943029,15.2,74,103.91351351351351,359.1,422.1733362162162,422.494208,36.391891891891895,39.0,0.0,0.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,prepare_val_clean,0.004477062961086631,0.010000000000000009,0,,,,,,,,
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,evaluate_val_clean,9.513820481020957,9.540000000000001,46,100.30869565217391,105.9,470.2137655652173,486.785024,38.73913043478261,44.0,0.0,0.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,prepare_test_clean,0.004219524096697569,0.009999999999995124,0,,,,,,,,
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,evaluate_test_clean,9.501587691018358,9.52,46,100.31086956521742,104.6,531.0210226086956,547.422208,39.30434782608695,44.0,0.0,0.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,inference_batch1,0.9510724099818617,0.9500000000000062,5,100.16,103.8,525.242368,525.242368,36.0,36.0,0.0,0.0
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,explanations,0.0003386669559404254,3.3306690738754696e-15,0,,,,,,,,
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,read_data,0.01556958700530231,0.009999999999999953,0,,,,,,,,
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,build_model,0.00039428507443517447,-5.551115123125783e-17,0,,,,,,,,
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,extract_features,4.9440734720556065,4.970000000000001,24,100.52499999999999,104.6,397.5616853333333,398.09024,31.75,55.0,0.0,0.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,fit,0.45426617097109556,1.7999999999999994,2,293.3,402.6,435.959808,451.149824,35.0,48.0,0.0,0.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,save_model,0.014846554026007652,0.07000000000000128,1,403.0,403.0,454.742016,454.742016,22.0,22.0,0.0,0.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,warmup,0.09590027201920748,0.3799999999999998,0,,,,,,,,
