run,method,scenario,seed,status,error,path,n_train,originals_retained,fitted_vectors_or_images,train_seconds,training_cpu_core_percent,epochs,model_mb,batch1_median_ms,batch1_p95_ms,rss_peak_mb,vram_peak_mb,fit_cpu_core_percent,fit_gpu_global_percent,evaluation,n,accuracy,macro_f1,balanced_accuracy,mcc,kappa,top2_accuracy,nll,brier,ece,auroc_macro,multiclass_gmean,score_argmax_agreement
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,800,771,2800,20.04668906191364,106.85056237389091,0,0.649039,30.04987398162484,35.374772537034005,565.972992,0.0,298.7,27.5,val_clean,500,0.616,0.5884731994338881,0.6426431638565462,0.5825837907289744,0.5643808763204705,0.882,1.1986384562840586,0.6092161083480542,0.2600714059122556,0.9514488384261025,0.5523556209030815,0.832
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,800,771,2800,20.04668906191364,106.85056237389091,0,0.649039,30.04987398162484,35.374772537034005,565.972992,0.0,298.7,27.5,test_clean,500,0.622,0.5886673642958347,0.6241315598397563,0.5844877827269912,0.5675096795452673,0.848,1.2150719364753728,0.6097346398582972,0.26620987553585956,0.9434332184403527,0.5282878985851301,0.844
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,800,787,2800,21.3203274308471,106.98709986506859,0,0.648357,30.76127398526296,33.04778126766905,571.846656,0.0,322.43333333333334,39.0,train,800,0.68125,0.6411951094743074,0.6812499999999999,0.6521004039255922,0.6357142857142857,0.89125,1.0326441306206116,0.5311799188616074,0.2633967694576049,0.9736017857142856,0.5734194623172872,0.86125
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,800,787,2800,21.3203274308471,106.98709986506859,0,0.648357,30.76127398526296,33.04778126766905,571.846656,0.0,322.43333333333334,39.0,val_clean,500,0.6,0.5629797928993894,0.6234527292750932,0.5633213031154642,0.5455764135981713,0.834,1.1332650247101737,0.5760647161241086,0.21779590394325365,0.9534312897928012,0.49490041835399495,0.854
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,800,787,2800,21.3203274308471,106.98709986506859,0,0.648357,30.76127398526296,33.04778126766905,571.846656,0.0,322.43333333333334,39.0,test_clean,500,0.584,0.5353135052597147,0.5883290467441226,0.54275103126576,0.5247886680374686,0.828,1.1731908695476536,0.5863346761086348,0.1922856288320022,0.9459917385089509,0.4395946669862425,0.86
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,800,779,2800,7.476999333128333,121.97406464371375,0,0.648292,37.8378015011549,51.80951646761969,557.969408,0.0,341.3333333333333,68.0,train,800,0.60125,0.5261934261745176,0.60125,0.5663380449940267,0.5442857142857143,0.7925,1.3005070582957234,0.6310902504990774,0.2445571384272171,0.9439517857142857,0.0,0.80625
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,800,779,2800,7.476999333128333,121.97406464371375,0,0.648292,37.8378015011549,51.80951646761969,557.969408,0.0,341.3333333333333,68.0,val_clean,500,0.548,0.4672228442491324,0.5804754712119075,0.51255188360267,0.4874609359054025,0.774,1.3309170741764849,0.6604710840605521,0.20807482216782044,0.928176458855096,0.0,0.776
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,800,779,2800,7.476999333128333,121.97406464371375,0,0.648292,37.8378015011549,51.80951646761969,557.969408,0.0,341.3333333333333,68.0,test_clean,500,0.532,0.43889672837940263,0.5321889958591088,0.4876886682397078,0.46471707781275173,0.784,1.3446322548436038,0.6504285430783842,0.17888228187143732,0.931662062667447,0.0,0.818
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,800,781,2800,7.481701731914654,121.49642321645668,0,0.647415,39.984270464628935,50.71717266691847,561.025024,0.0,330.2,37.0,train,800,0.71125,0.6596494755666287,0.7112499999999999,0.6868041600161922,0.6699999999999999,0.83875,1.1718102636643806,0.5965558453024424,0.33052251246691156,0.9546839285714286,0.0,0.81125
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,800,781,2800,7.481701731914654,121.49642321645668,0,0.647415,39.984270464628935,50.71717266691847,561.025024,0.0,330.2,37.0,val_clean,500,0.626,0.573386397136449,0.6514795612537213,0.5933988089511512,0.574551345054785,0.78,1.2540155960088146,0.6430257959880695,0.26281996836775723,0.9310937436466135,0.0,0.772
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,800,781,2800,7.481701731914654,121.49642321645668,0,0.647415,39.984270464628935,50.71717266691847,561.025024,0.0,330.2,37.0,test_clean,500,0.61,0.5452079868029973,0.6103526635392533,0.5699376116171585,0.5543488694173626,0.764,1.2939825122156525,0.6411380573552483,0.2452487165954728,0.9227589231493546,0.0,0.764
few100__resnet18__seed42,resnet18,few100,42,complete,,runs/2026-09-12/few100__resnet18__seed42,800,800,800,65.39845558907837,79.00798196926988,44,45.011183,3.7828494678251445,5.118037050124258,2704.986112,4095.737856,77.22467105263159,71.48026315789474,train,800,0.8775,0.8761610985298538,0.8775,0.8621379819861382,0.86,0.9875,0.31329151966182256,0.17562319501546747,0.06206396504597898,0.9950785714285715,0.8703809697764296,1.0
few100__resnet18__seed42,resnet18,few100,42,complete,,runs/2026-09-12/few100__resnet18__seed42,800,800,800,65.39845558907837,79.00798196926988,44,45.011183,3.7828494678251445,5.118037050124258,2704.986112,4095.737856,77.22467105263159,71.48026315789474,val_clean,500,0.844,0.8459239808441037,0.8507698577005602,0.8229919076697906,0.8215609300793367,0.98,0.40327138403408985,0.22567876643956594,0.03349148578810318,0.9877597826176042,0.8444242272856481,1.0
few100__resnet18__seed42,resnet18,few100,42,complete,,runs/2026-09-12/few100__resnet18__seed42,800,800,800,65.39845558907837,79.00798196926988,44,45.011183,3.7828494678251445,5.118037050124258,2704.986112,4095.737856,77.22467105263159,71.48026315789474,test_clean,500,0.858,0.8563042852636711,0.8574718815529158,0.838631089827308,0.8375516517107413,0.966,0.3973421428441236,0.21388219944664508,0.04211122106973507,0.9886119584504323,0.8496201465799968,1.0
few100__resnet18__seed43,resnet18,few100,43,complete,,runs/2026-09-12/few100__resnet18__seed43,800,800,800,98.83911464491393,75.63807129250425,67,45.011183,3.679697518236935,5.138515925500542,2702.45888,3886.022656,74.18715203426125,81.82655246252676,train,800,0.99125,0.9912416552910821,0.99125,0.990031822962901,0.99,1.0,0.03729212529674979,0.014046025343865459,0.01839763549581496,0.9998660714285714,0.9911549697718768,1.0
few100__resnet18__seed43,resnet18,few100,43,complete,,runs/2026-09-12/few100__resnet18__seed43,800,800,800,98.83911464491393,75.63807129250425,67,45.011183,3.679697518236935,5.138515925500542,2702.45888,3886.022656,74.18715203426125,81.82655246252676,val_clean,500,0.89,0.8932276669773604,0.8917085781396394,0.8743446769832491,0.8740040593601239,0.976,0.4099988995682849,0.17943764777147483,0.05727672160570301,0.9858271626399757,0.8897652981150875,1.0
few100__resnet18__seed43,resnet18,few100,43,complete,,runs/2026-09-12/few100__resnet18__seed43,800,800,800,98.83911464491393,75.63807129250425,67,45.011183,3.679697518236935,5.138515925500542,2702.45888,3886.022656,74.18715203426125,81.82655246252676,test_clean,500,0.878,0.880444321492251,0.8786444211276985,0.8606703222979913,0.8604259525356714,0.98,0.3834683145512434,0.18304900071788643,0.051872251625814034,0.9864785767669247,0.8727785932149379,1.0
few100__yolo11n__seed42,yolo11n,few100,42,complete,,runs/2026-09-12/few100__yolo11n__seed42,800,800,800,72.54056330898311,328.9194198612638,21,3.203496,4.823129449505359,7.42632560431957,2824.6016,710.934528,350.8353658536585,39.2469512195122,train,800,0.97375,0.974004121852827,0.97375,0.9700658281290104,0.97,0.995,0.0847166566186315,0.04197834397965997,0.01620097898860664,0.9990410714285715,0.9735837810137443,1.0
few100__yolo11n__seed42,yolo11n,few100,42,complete,,runs/2026-09-12/few100__yolo11n__seed42,800,800,800,72.54056330898311,328.9194198612638,21,3.203496,4.823129449505359,7.42632560431957,2824.6016,710.934528,350.8353658536585,39.2469512195122,val_clean,500,0.932,0.9339236263850639,0.9347032799323349,0.9223344564516804,0.9221401385905533,0.984,0.24493219680932687,0.11331459006615353,0.018588260756077814,0.9938071924475115,0.9337513871681573,1.0
few100__yolo11n__seed42,yolo11n,few100,42,complete,,runs/2026-09-12/few100__yolo11n__seed42,800,800,800,72.54056330898311,328.9194198612638,21,3.203496,4.823129449505359,7.42632560431957,2824.6016,710.934528,350.8353658536585,39.2469512195122,test_clean,500,0.912,0.9144792083489894,0.9143168570260585,0.8996893335086649,0.8993600212258864,0.982,0.24498171626860601,0.12594477106637805,0.02803648514535438,0.9944582940961912,0.911909171442669,1.0
few100__yolo11n__seed43,yolo11n,few100,43,complete,,runs/2026-09-12/few100__yolo11n__seed43,800,800,800,53.32010871905368,320.62950377839024,15,3.203048,3.1192025053314865,4.367885354440658,2818.445312,631.242752,350.137339055794,32.892703862660944,train,800,0.96625,0.9663317827130853,0.96625,0.961538467819332,0.9614285714285714,0.99875,0.09245809069599442,0.04786581048327264,0.026789826537107684,0.9993732142857142,0.9658983233676222,1.0
few100__yolo11n__seed43,yolo11n,few100,43,complete,,runs/2026-09-12/few100__yolo11n__seed43,800,800,800,53.32010871905368,320.62950377839024,15,3.203048,3.1192025053314865,4.367885354440658,2818.445312,631.242752,350.137339055794,32.892703862660944,val_clean,500,0.912,0.9144656374950442,0.9151660828388671,0.8994680902715103,0.8992332566895377,0.98,0.2439959886839835,0.12727614305570012,0.022205116517014734,0.9945418402020195,0.9129909575292648,1.0
few100__yolo11n__seed43,yolo11n,few100,43,complete,,runs/2026-09-12/few100__yolo11n__seed43,800,800,800,53.32010871905368,320.62950377839024,15,3.203048,3.1192025053314865,4.367885354440658,2818.445312,631.242752,350.137339055794,32.892703862660944,test_clean,500,0.914,0.9163029830450959,0.917543726370171,0.9022729865011937,0.9016954112332425,0.974,0.2750006603153026,0.1352270907377164,0.02974319302081405,0.9929345907572894,0.914877622357501,1.0
few10__polygarbor__seed42,polygarbor,few10,42,complete,,runs/2026-09-12/few10__polygarbor__seed42,80,80,80,0.573548638029024,99.38128385393459,0,0.0197,6.103559513576329,8.660900761606172,392.040448,0.0,,,train,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0048061571027285714,0.00010345445867764754,0.004773422453280496,1.0,1.0,1.0
few10__polygarbor__seed42,polygarbor,few10,42,complete,,runs/2026-09-12/few10__polygarbor__seed42,80,80,80,0.573548638029024,99.38128385393459,0,0.0197,6.103559513576329,8.660900761606172,392.040448,0.0,,,val_clean,500,0.564,0.5190665915240611,0.5687100053029461,0.5171618903527052,0.5013084933111286,0.746,1.224957534863619,0.5707684707325263,0.09395546272860328,0.9013338804376188,0.3559350602262785,1.0
few10__polygarbor__seed42,polygarbor,few10,42,complete,,runs/2026-09-12/few10__polygarbor__seed42,80,80,80,0.573548638029024,99.38128385393459,0,0.0197,6.103559513576329,8.660900761606172,392.040448,0.0,,,test_clean,500,0.546,0.5098073496104538,0.5588321833833001,0.4952948562400751,0.48145813059945275,0.746,1.3039148261002527,0.5755924064771282,0.10581982913353799,0.8858691357648463,0.3507515240185982,1.0
few10__polygarbor__seed43,polygarbor,few10,43,complete,,runs/2026-09-12/few10__polygarbor__seed43,80,80,80,0.5435710590099916,99.34303731760565,0,0.019653,6.826993951108307,7.29321381659247,392.06912,0.0,,,train,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0038432070711709953,5.9531546746467744e-05,0.0038232805485802768,1.0,1.0,1.0
few10__polygarbor__seed43,polygarbor,few10,43,complete,,runs/2026-09-12/few10__polygarbor__seed43,80,80,80,0.5435710590099916,99.34303731760565,0,0.019653,6.826993951108307,7.29321381659247,392.06912,0.0,,,val_clean,500,0.544,0.48526113148501404,0.5377820569840627,0.5054055307614012,0.4788142567159812,0.75,1.2812504348097453,0.5838095567803596,0.12712716260180495,0.9163298254209918,0.0,1.0
few10__polygarbor__seed43,polygarbor,few10,43,complete,,runs/2026-09-12/few10__polygarbor__seed43,80,80,80,0.5435710590099916,99.34303731760565,0,0.019653,6.826993951108307,7.29321381659247,392.06912,0.0,,,test_clean,500,0.53,0.49246147521323214,0.5370324132965089,0.4894797625746816,0.46208007910856363,0.712,1.4331485489423001,0.6296213345668821,0.14154205755812818,0.9016939281581167,0.0,1.0
few10__polygarbor_aug__seed42,polygarbor_aug,few10,42,complete,,runs/2026-09-12/few10__polygarbor_aug__seed42,80,80,320,1.5140353271272033,103.69639148242247,0,0.07544,7.672845444176346,8.010924031259492,395.505664,0.0,,,train,80,1.0,1.0,1.0,1.0,1.0,1.0,0.054968521536111446,0.008278312647302291,0.051584387805335946,1.0,1.0,1.0
