evaluation,polygarbor,polygarbor_aug,polygarbor_p3,polygarbor_p3_aug,polygarbor_p5,resnet18,resnet18_imagenet,yolo11n,yolo11n_random
test_blur,0.4428888406828121,0.48290528932826976,0.38194419235297894,0.45430220543446226,0.3772555462144378,0.7538088133756166,0.6110442182568336,0.6508883577708988,0.8503076064726085
test_brightness,0.3525441735405098,0.502053290105127,0.3641944350774974,0.5062962702525517,0.36581764141301876,0.7463843319412338,0.823448652913094,0.9189219673153524,0.8095868686430185
test_clean,0.7928081242602426,0.7791010458170795,0.522501568377079,0.5721753370015639,0.42693902707713377,0.9077672214639863,0.9560918802538134,0.9509964753062488,0.861819969747796
test_color,0.3274835801013286,0.3679200493882526,0.2756782181871604,0.30930633613606195,0.264098754372161,0.2682123973411127,0.5999376638343332,0.9252034388463257,0.5199974242877001
test_jpeg,0.7170614258401864,0.7289057782196959,0.4531407889579444,0.485310176536159,0.4406057183446882,0.8389569164775966,0.9138285634333709,0.9029025234016675,0.823488581784187
test_noise,0.43688873738138134,0.42450941009377957,0.384620874489048,0.3612363030211079,0.3373164353815634,0.8985080668685463,0.9421314983460825,0.7790930334623885,0.8488038623689184
test_occlusion,0.31659492395933786,0.3785927722259955,0.39189105461309265,0.34993202984217847,0.3806486303222468,0.8897253299046481,0.8221319372202267,0.9262556821034678,0.8449683117697635
test_resolution,0.4290735595705336,0.4488908879356114,0.39388142754484456,0.44363467011423763,0.3771752869820388,0.6375134369574984,0.595844311328919,0.6353090195962399,0.8370015928836899
test_rotation,0.6334792768998153,0.638250890974756,0.4480229276496029,0.5197812337118348,0.40515413013413965,0.9003450340937839,0.931151068341653,0.940127595091717,0.8641418510529255
