model_seed,method_a,method_b,metric,difference_a_minus_b,ci95_low,ci95_high
42,polygarbor,resnet18,weak_region_AUROC,-0.1731713011052322,-0.19677668669353315,-0.14960607099015283
42,polygarbor,resnet18,weak_region_Dice,-0.2806524571358269,-0.3244986396770428,-0.2339733248780845
42,polygarbor,resnet18,patch_AUROC,-0.13095238095238096,-0.16785714285714284,-0.09523809523809519
42,polygarbor,resnet18,patch_Dice,-0.32801587301587304,-0.4392083333333333,-0.21650396825396834
42,polygarbor,resnet18,patch_recall_at_2,-0.31666666666666665,-0.45,-0.2
42,polygarbor,resnet18_imagenet,weak_region_AUROC,-0.21841638992710172,-0.24716717902989416,-0.19109185566975306
42,polygarbor,resnet18_imagenet,weak_region_Dice,-0.44321833810172445,-0.484175376323958,-0.40007743235062776
42,polygarbor,resnet18_imagenet,patch_AUROC,-0.15952380952380954,-0.20357142857142854,-0.11785714285714285
42,polygarbor,resnet18_imagenet,patch_Dice,-0.5213492063492063,-0.6313551587301587,-0.4030119047619048
42,polygarbor,resnet18_imagenet,patch_recall_at_2,-0.5166666666666667,-0.6333333333333333,-0.4
42,resnet18,resnet18_imagenet,weak_region_AUROC,-0.04524508882186953,-0.060309919883274575,-0.030717886717401593
42,resnet18,resnet18_imagenet,weak_region_Dice,-0.16256588096589744,-0.21632156788710982,-0.10705198055956144
42,resnet18,resnet18_imagenet,patch_AUROC,-0.02857142857142857,-0.04404761904761904,-0.014285714285714284
42,resnet18,resnet18_imagenet,patch_Dice,-0.19333333333333333,-0.28777777777777774,-0.10997222222222262
42,resnet18,resnet18_imagenet,patch_recall_at_2,-0.2,-0.2833333333333333,-0.11666666666666667
43,polygarbor,resnet18,weak_region_AUROC,-0.1784145481798942,-0.20592819592877726,-0.15132915915417403
43,polygarbor,resnet18,weak_region_Dice,-0.3120517769895088,-0.35575266490700114,-0.2657155494971243
43,polygarbor,resnet18,patch_AUROC,-0.1523809523809524,-0.19523809523809524,-0.10952380952380952
43,polygarbor,resnet18,patch_Dice,-0.3315873015873016,-0.476031746031746,-0.1899960317460318
43,polygarbor,resnet18,patch_recall_at_2,-0.4,-0.5333333333333333,-0.26666666666666666
43,polygarbor,resnet18_imagenet,weak_region_AUROC,-0.21824769785185183,-0.24810271231169898,-0.1884043580301293
43,polygarbor,resnet18_imagenet,weak_region_Dice,-0.44359056331183255,-0.49785970458942314,-0.3856740452655196
43,polygarbor,resnet18_imagenet,patch_AUROC,-0.1642857142857143,-0.21071428571428572,-0.12023809523809523
43,polygarbor,resnet18_imagenet,patch_Dice,-0.46380952380952384,-0.5877777777777777,-0.3393650793650794
43,polygarbor,resnet18_imagenet,patch_recall_at_2,-0.5166666666666667,-0.65,-0.4
43,resnet18,resnet18_imagenet,weak_region_AUROC,-0.039833149671957634,-0.05654491193536149,-0.02474534257774836
43,resnet18,resnet18_imagenet,weak_region_Dice,-0.13153878632232366,-0.17554074753607174,-0.08724339784048264
43,resnet18,resnet18_imagenet,patch_AUROC,-0.011904761904761902,-0.020238095238095232,-0.00476190476190476
43,resnet18,resnet18_imagenet,patch_Dice,-0.1322222222222222,-0.2222222222222222,-0.046666666666666676
43,resnet18,resnet18_imagenet,patch_recall_at_2,-0.11666666666666667,-0.2,-0.05
