method,model_seed,test_pooled_auc,test_pooled_average_precision,test_pooled_dice,test_pooled_iou,test_mosaic_auc_mean,test_mosaic_auc_ci95,test_mosaic_dice_mean,test_mosaic_dice_ci95,threshold,map_seconds
polygarbor,42,0.6408110431938858,0.18913722318516002,0.2593659462768242,0.14900659085811085,0.6479598585584949,"[0.5972396844876543, 0.7009396801034684]",0.26680467046126083,"[0.22208946451726091, 0.3160366904364677]",-5.995277404785156,53.900709502981044
polygarbor,43,0.6387331702572996,0.18580908588195105,0.25883546393534906,0.1486565218703365,0.6454536510358613,"[0.5945951884203116, 0.6985252990962374]",0.26684592156298714,"[0.2222302701867067, 0.31607027234706897]",-5.926289081573486,54.87611861701589
resnet18,42,0.8963793810228101,0.45230634015724147,0.5583720977445136,0.38732054011365713,0.8987545929218107,"[0.8762565086048795, 0.9197176921817756]",0.5742339743124636,"[0.5303770335016965, 0.6177626979922447]",5.451767921447754,5.697622765903361
resnet18,43,0.8976998430670979,0.5774805016585718,0.5889267039345722,0.41736081717137485,0.8973901982351558,"[0.8731788602901235, 0.9179544685994414]",0.5897129996276135,"[0.5495522837887797, 0.6276185039015377]",4.222008228302002,2.290732308058068
