vectors,method,scenario,seed,images_per_class,fitted_vectors,status,error,fit_seconds,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty,C,gamma,selection_val_macro_f1
polygarbor,pmd_l3,few1,42,1,8,undefined,IndexError: tuple index out of range,,,,,,,,,,,,,,,,,
polygarbor,pmd_l1,few1,42,1,8,undefined,IndexError: tuple index out of range,,,,,,,,,,,,,,,,,
polygarbor,nearest_centroid,few1,42,1,8,complete,,0.009164209001028212,0.501575992978001,0.48967208931976597,0.38100591259684885,0.5155161522187327,0.5,0.11940298507462686,0.25862068965517243,0.5294117647058824,0.3333333333333333,0.10294117647058823,0.85,0.9473684210526315,0.9830508474576272,,,
polygarbor,svm_default,few1,42,1,8,complete,,0.0013602520011772867,0.501575992978001,0.48967208931976597,0.38100591259684885,0.5155161522187327,0.5,0.11940298507462686,0.25862068965517243,0.5294117647058824,0.3333333333333333,0.10294117647058823,0.85,0.9473684210526315,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few1,42,1,8,complete,,0.07965668700126116,0.501575992978001,0.48967208931976597,0.38100591259684885,0.5155161522187327,0.5,0.11940298507462686,0.25862068965517243,0.5294117647058824,0.3333333333333333,0.10294117647058823,0.85,0.9473684210526315,0.9830508474576272,0.1,0.0001,0.501575992978001
polygarbor,pmd_l3,few2,42,2,16,complete,,0.013340874997084029,0.18754183019626997,0.23326414622582825,0.0,0.31647851606173255,0.316,0.6268656716417911,0.896551724137931,0.47058823529411764,0.0,0.11764705882352941,0.016666666666666666,0.40350877192982454,0.0,,,
polygarbor,pmd_l1,few2,42,2,16,complete,,0.00541249999878346,0.18754183019626997,0.23326414622582825,0.0,0.31647851606173255,0.316,0.6268656716417911,0.896551724137931,0.47058823529411764,0.0,0.11764705882352941,0.016666666666666666,0.40350877192982454,0.0,,,
polygarbor,nearest_centroid,few2,42,2,16,complete,,0.001010705000226153,0.492734347250578,0.4927408173562226,0.42192736373554834,0.5078699721044445,0.492,0.16417910447761194,0.3793103448275862,0.19117647058823528,0.5079365079365079,0.27941176470588236,0.7333333333333333,0.8245614035087719,0.9830508474576272,,,
polygarbor,svm_default,few2,42,2,16,complete,,0.001002896999125369,0.4361897841736359,0.4068361488533708,0.25271327241040203,0.45472835261568145,0.436,0.029850746268656716,0.15517241379310345,0.058823529411764705,0.5079365079365079,0.16176470588235295,0.9166666666666666,0.8245614035087719,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few2,42,2,16,complete,,0.08234642399838776,0.572846656539303,0.5255308317224103,0.444276206053658,0.5366428907851492,0.524,0.208955223880597,0.20689655172413793,0.5,0.31746031746031744,0.27941176470588236,0.85,0.9473684210526315,0.9830508474576272,10.0,scale,0.572846656539303
polygarbor,pmd_l3,few5,42,5,40,complete,,0.010167665997869335,0.39996520763292104,0.43141142055713344,0.0,0.5002856191675445,0.486,0.6865671641791045,0.8793103448275862,0.3235294117647059,0.0,0.14705882352941177,0.016666666666666666,1.0,0.9491525423728814,,,
polygarbor,pmd_l1,few5,42,5,40,complete,,0.004923910997604253,0.3540883286437173,0.3809615690337095,0.0,0.4123942516114467,0.406,0.417910447761194,0.6896551724137931,0.3235294117647059,0.0,0.45588235294117646,0.05,0.6842105263157895,0.6779661016949152,,,
polygarbor,nearest_centroid,few5,42,5,40,complete,,0.0010300130015821196,0.5024205362265568,0.5066145826333508,0.44657252830592653,0.5087556564203375,0.498,0.3283582089552239,0.20689655172413793,0.3088235294117647,0.42857142857142855,0.35294117647058826,0.5666666666666667,0.8947368421052632,0.9830508474576272,,,
polygarbor,svm_default,few5,42,5,40,complete,,0.001159227998869028,0.5982204922797315,0.5531508252852583,0.4937285527045805,0.5504771414044315,0.542,0.26865671641791045,0.2413793103448276,0.47058823529411764,0.4603174603174603,0.5,0.55,0.9298245614035088,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few5,42,5,40,complete,,0.09945348899782402,0.6232887608796119,0.5907121798936404,0.5460205154697383,0.592244407854492,0.58,0.31343283582089554,0.4827586206896552,0.47058823529411764,0.38095238095238093,0.4264705882352941,0.7333333333333333,0.9473684210526315,0.9830508474576272,10.0,0.01,0.6232887608796119
polygarbor,pmd_l3,few10,42,10,80,complete,,0.011286664001090685,0.5190665915240611,0.5098073496104538,0.3507515240185982,0.5588321833833001,0.546,0.746268656716418,0.8793103448275862,0.3088235294117647,0.4126984126984127,0.17647058823529413,0.016666666666666666,0.9473684210526315,0.9830508474576272,,,
polygarbor,pmd_l1,few10,42,10,80,complete,,0.005689258003258146,0.4774067299199852,0.5386997912011706,0.4203696261694516,0.5739391166023105,0.564,0.746268656716418,0.9310344827586207,0.16176470588235295,0.5079365079365079,0.45588235294117646,0.05,0.7894736842105263,0.9491525423728814,,,
polygarbor,nearest_centroid,few10,42,10,80,complete,,0.0011391539992473554,0.5978086435747396,0.5866476662067136,0.5308433849393491,0.598932993438521,0.596,0.6268656716417911,0.13793103448275862,0.5,0.5714285714285714,0.5441176470588235,0.5333333333333333,0.8947368421052632,0.9830508474576272,,,
polygarbor,svm_default,few10,42,10,80,complete,,0.0013662199999089353,0.7268267489983826,0.6986002618698817,0.6752808166662775,0.6994434203160648,0.698,0.746268656716418,0.43103448275862066,0.5882352941176471,0.5396825396825397,0.7941176470588235,0.5833333333333334,0.9298245614035088,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few10,42,10,80,complete,,0.12682541599860997,0.7473778494609583,0.736814259420265,0.7170897176804711,0.7363751797513356,0.734,0.8059701492537313,0.5,0.5588235294117647,0.6507936507936508,0.7941176470588235,0.6333333333333333,0.9649122807017544,0.9830508474576272,10.0,scale,0.7473778494609583
polygarbor,pmd_l3,few20,42,20,160,complete,,0.01996224100003019,0.5443524641013707,0.5446889401894105,0.0,0.5704171392589065,0.566,0.4925373134328358,0.6551724137931034,0.27941176470588236,0.7777777777777778,0.6911764705882353,0.0,0.6842105263157895,0.9830508474576272,,,
polygarbor,pmd_l1,few20,42,20,160,complete,,0.014357567000843119,0.48682457699756754,0.514184136579374,0.4166725818819267,0.5379416683346242,0.524,0.4626865671641791,0.9137931034482759,0.11764705882352941,0.8095238095238095,0.2647058823529412,0.13333333333333333,0.7543859649122807,0.847457627118644,,,
polygarbor,nearest_centroid,few20,42,20,160,complete,,0.001134973001171602,0.6314854232805486,0.5995806619469596,0.5635522101640503,0.6048059461130131,0.602,0.582089552238806,0.2413793103448276,0.5735294117647058,0.6349206349206349,0.5147058823529411,0.4666666666666667,0.8421052631578947,0.9830508474576272,,,
polygarbor,svm_default,few20,42,20,160,complete,,0.0017607539994060062,0.7573434639856689,0.7232138257846035,0.7065224035041991,0.7223223879092782,0.72,0.7313432835820896,0.5,0.6617647058823529,0.5873015873015873,0.7352941176470589,0.65,0.9298245614035088,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few20,42,20,160,complete,,0.1769912489980925,0.7888923930150515,0.7771772539289772,0.7676256257349356,0.7766458182141229,0.772,0.746268656716418,0.6551724137931034,0.6911764705882353,0.7619047619047619,0.6764705882352942,0.7166666666666667,0.9824561403508771,0.9830508474576272,10.0,scale,0.7888923930150515
