vectors,method,scenario,seed,images_per_class,fitted_vectors,status,error,fit_seconds,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
polygarbor,pmd_l3_standardized,few1,42,1,8,undefined,IndexError: tuple index out of range,,,,,,,,,,,,,,
polygarbor,pmd_l1_standardized,few1,42,1,8,undefined,IndexError: tuple index out of range,,,,,,,,,,,,,,
polygarbor,pmd_l3_standardized,few2,42,2,16,complete,,0.005100971000501886,0.2379357389880436,0.26150224943354183,0.0,0.3333264452000699,0.332,0.417910447761194,0.603448275862069,0.29411764705882354,0.0,0.5441176470588235,0.0,0.8070175438596491,0.0
polygarbor,pmd_l1_standardized,few2,42,2,16,complete,,0.005433735001133755,0.2379357389880436,0.26150224943354183,0.0,0.3333264452000699,0.332,0.417910447761194,0.603448275862069,0.29411764705882354,0.0,0.5441176470588235,0.0,0.8070175438596491,0.0
polygarbor,pmd_l3_standardized,few5,42,5,40,complete,,0.009554178002872504,0.4098867565032489,0.4570612951759144,0.0,0.4997189733901653,0.488,0.5671641791044776,0.8103448275862069,0.1323529411764706,0.0,0.5588235294117647,0.15,0.9824561403508771,0.7966101694915254
polygarbor,pmd_l1_standardized,few5,42,5,40,complete,,0.005788108999695396,0.35641941892649953,0.3589574138675906,0.0,0.41676995417572077,0.41,0.4925373134328358,0.7241379310344828,0.22058823529411764,0.0,0.5294117647058824,0.2833333333333333,0.9824561403508771,0.1016949152542373
polygarbor,pmd_l3_standardized,few10,42,10,80,complete,,0.012917743999423692,0.6521092624735711,0.6402863732242697,0.5720467313031588,0.6634050338235097,0.658,0.8208955223880597,0.7413793103448276,0.35294117647058826,0.5873015873015873,0.7058823529411765,0.13333333333333333,0.9824561403508771,0.9830508474576272
polygarbor,pmd_l1_standardized,few10,42,10,80,complete,,0.006014452999806963,0.5729045811477773,0.5738936030299323,0.5228448888940246,0.5908573767555008,0.584,0.7910447761194029,0.8275862068965517,0.3235294117647059,0.3968253968253968,0.5441176470588235,0.18333333333333332,0.9824561403508771,0.6779661016949152
polygarbor,pmd_l3_standardized,few20,42,20,160,complete,,0.02225820199964801,0.5881952999222897,0.5777967814475908,0.40916009018310606,0.62231458768126,0.61,0.40298507462686567,0.8620689655172413,0.35294117647058826,0.9841269841269841,0.4117647058823529,0.016666666666666666,0.9649122807017544,0.9830508474576272
polygarbor,pmd_l1_standardized,few20,42,20,160,complete,,0.008750642999075353,0.4904611564823903,0.517220162401099,0.4488392931708955,0.5183678012802404,0.508,0.4626865671641791,0.8103448275862069,0.11764705882352941,0.5555555555555556,0.45588235294117646,0.2833333333333333,0.6140350877192983,0.847457627118644
polygarbor,pmd_l3_standardized,few50,42,50,400,complete,,0.08013035399926594,0.7304810197198359,0.6975764607744547,0.6493970528873643,0.7175343485367897,0.704,0.746268656716418,0.9482758620689655,0.20588235294117646,0.9365079365079365,0.45588235294117646,0.6,1.0,0.847457627118644
polygarbor,pmd_l1_standardized,few50,42,50,400,complete,,0.012903859998914413,0.7183129647428916,0.7083588152003915,0.6884970656704309,0.7162101540334498,0.712,0.8507462686567164,0.8103448275862069,0.38235294117647056,0.8888888888888888,0.7058823529411765,0.5333333333333333,0.9649122807017544,0.5932203389830508
polygarbor,pmd_l3_standardized,few100,42,100,800,complete,,0.2133985290020064,0.7905952623309077,0.7592522675141105,0.7168594477914301,0.7785169589467837,0.766,0.6865671641791045,0.9137931034482759,0.22058823529411764,0.9682539682539683,0.7058823529411765,0.75,1.0,0.9830508474576272
polygarbor,pmd_l1_standardized,few100,42,100,800,complete,,0.014676949998829514,0.7984025110798124,0.7992238468583787,0.7891545846425048,0.8046832926940155,0.802,0.8805970149253731,0.8275862068965517,0.5,0.9365079365079365,0.8823529411764706,0.75,0.9824561403508771,0.6779661016949152
polygarbor,pmd_l3_standardized,full,42,500,2800,complete,,1.5975133510000887,0.8338542391585546,0.7852419400662032,0.75650667165632,0.8012052801557422,0.794,0.9104477611940298,1.0,0.35294117647058826,0.9682539682539683,0.7794117647058824,0.48333333333333334,1.0,0.9152542372881356
