scenario,method,ADI,BACK,DEB,LYM,MUC,MUS,NORM,STR,TUM
few1,gabor_svm,0.7439461883408072,0.566469893742621,0.34277286135693213,0.5198738170347003,0.19690821256038643,0.11148648648648644,0.14089068825910925,0.0916864608076009,0.17502027575020276
few1,nearest_centroid,0.7439461883408072,0.566469893742621,0.34277286135693213,0.5198738170347003,0.19690821256038643,0.11148648648648644,0.14089068825910925,0.0916864608076009,0.17502027575020276
few1,svm_tuned,0.7439461883408072,0.566469893742621,0.34277286135693213,0.5198738170347003,0.19690821256038643,0.11148648648648644,0.14089068825910925,0.0916864608076009,0.17502027575020276
few1,yolo11n,0.7121076233183856,0.5671782762691854,0.5823008849557523,0.8353312302839117,0.2997101449275362,0.3202702702702703,0.2620782726045884,0.22280285035629452,0.2995944849959448
few1,yolo11n_random,0.0,0.4,0.2,0.0,0.0,0.2,0.2,0.0,0.0
few10,gabor_svm,0.8660687593423019,0.9848878394332938,0.2135693215339233,0.5984227129337539,0.3397101449275362,0.2111486486486486,0.5551956815114709,0.1776722090261282,0.2744525547445255
few10,nearest_centroid,0.8949177877428998,0.966469893742621,0.5433628318584071,0.6290220820189274,0.23149758454106278,0.1574324324324324,0.5411605937921727,0.23372921615201897,0.17858880778588807
few10,pmd_l3,0.03976083707025406,1.0,0.5551622418879056,0.334384858044164,0.07594202898550721,0.29560810810810806,0.14520917678812414,0.09833729216152017,0.07769667477696675
few10,svm_tuned,0.7886397608370702,0.9726092089728453,0.5020648967551622,0.7864353312302839,0.4371014492753623,0.20641891891891886,0.7322537112010796,0.27315914489311155,0.33398215733982156
few10,yolo11n,0.9100149476831092,0.936245572609209,0.7657817109144542,0.9473186119873818,0.6430917874396135,0.6212837837837838,0.6780026990553306,0.4969121140142517,0.5745336577453366
few10,yolo11n_random,0.3711509715994021,0.5974025974025974,0.1592920353982301,0.38170347003154576,0.18995169082125604,0.1016891891891892,0.44858299595141704,0.06935866983372921,0.14517437145174372
few2,gabor_svm,0.7862481315396114,0.5095631641086187,0.2707964601769911,0.45299684542586743,0.16463768115942026,0.10371621621621618,0.23670715249662616,0.19809976247030875,0.17323600973236006
few2,nearest_centroid,0.74304932735426,0.41345926800472255,0.2731563421828908,0.5741324921135647,0.1350724637681159,0.12871621621621615,0.33063427800269907,0.10783847980997623,0.16188158961881588
few2,pmd_l3,0.06487294469357248,0.7929161747343565,0.36342182890855457,0.23722397476340693,0.06241545893719804,0.23378378378378378,0.24507422402159246,0.11401425178147266,0.07477696674776965
few2,svm_tuned,0.7520179372197309,0.7485242030696576,0.3221238938053097,0.6009463722397476,0.1744927536231884,0.09391891891891888,0.36950067476383264,0.18717339667458427,0.19999999999999998
few2,yolo11n,0.8373692077727952,0.6214876033057851,0.7244837758112095,0.9400630914826499,0.37681159420289856,0.32837837837837835,0.4955465587044534,0.34394299287410923,0.24509326845093268
few2,yolo11n_random,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0
few20,gabor_svm,0.8769805680119582,0.9896103896103895,0.3085545722713864,0.5514195583596214,0.35207729468599036,0.25878378378378375,0.5757085020242915,0.2403800475059382,0.25660989456609895
few20,nearest_centroid,0.8938714499252616,0.9917355371900827,0.5179941002949853,0.7782334384858045,0.23304347826086955,0.09763513513513512,0.536302294197031,0.20617577197149636,0.09878345498783454
few20,pmd_l3,0.05560538116591922,1.0,0.5073746312684365,0.4400630914826499,0.055652173913043446,0.37094594594594593,0.20674763832658566,0.07458432304038,0.09521492295214921
few20,svm_tuned,0.8147982062780269,0.9846517119244392,0.4820058997050148,0.8643533123028391,0.5455072463768116,0.2807432432432432,0.7643724696356275,0.28598574821852724,0.4880778588807786
few20,yolo11n,0.9316890881913305,0.9702479338842975,0.6595870206489675,0.9274447949526813,0.8197101449275361,0.7962837837837837,0.8159244264507421,0.3819477434679335,0.5881589618815897
few20,yolo11n_random,0.866068759342302,1.0,0.5274336283185841,0.717981072555205,0.37082125603864735,0.2956081081081081,0.08421052631578947,0.12589073634204276,0.22384428223844283
few5,gabor_svm,0.8675635276532138,0.9822904368358915,0.20943952802359878,0.5056782334384857,0.23188405797101447,0.1594594594594594,0.5093117408906883,0.15866983372921611,0.22968369829683696
few5,nearest_centroid,0.8762331838565022,0.8550177095631641,0.2613569321533923,0.4779179810725552,0.15710144927536224,0.13918918918918913,0.541970310391363,0.19572446555819475,0.23795620437956205
few5,pmd_l3,0.00896860986547084,1.0,0.3781710914454277,0.23596214511041005,0.06376811594202896,0.2787162162162162,0.18596491228070172,0.0413301662707838,0.12635847526358476
few5,svm_tuned,0.8309417040358744,0.9721369539551358,0.33923303834808255,0.6201892744479496,0.26995169082125603,0.19695945945945942,0.6269905533063428,0.16674584323040376,0.2384428223844282
few5,yolo11n,0.8659192825112108,0.9388429752066116,0.6737463126843657,0.9037854889589905,0.37314009661835745,0.4898648648648649,0.5641025641025641,0.4133016627078385,0.4107055961070559
few5,yolo11n_random,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.2
