seed,a,b,macro_f1_b_minus_a,source_bootstrap_ci_low,source_bootstrap_ci_high,folds_a_better,folds_b_better
42,polygarbor,resnet18,0.1928942250351916,0.00438707051316642,0.27240464123866737,2,8
42,polygarbor,resnet18_imagenet,0.2403102641957019,0.037173000061489075,0.31864200974214735,2,8
42,polygarbor,yolo11n_random,0.18638557038530223,-0.005367852258107961,0.2560578809157187,3,7
42,polygarbor,yolo11n,0.23078473281615952,0.05007721994776579,0.30558984199901995,1,9
43,polygarbor,resnet18,0.09951825316325169,0.038676108932279914,0.15978263741390808,2,8
43,polygarbor,resnet18_imagenet,0.250812783258372,0.0631988555349409,0.3229465961440162,2,8
43,polygarbor,yolo11n_random,0.21234604590727957,0.011520065975508793,0.2886367461427736,3,7
43,polygarbor,yolo11n,0.2400212024141919,0.07327762274918885,0.3020916052686011,1,9
