evaluation,gabor_svm,polygarbor,polygarbor_aug,resnet18,resnet18_imagenet,yolo11n_random,yolo11n
test_blur,0.4008030870301639,0.4428888406828121,0.48290528932826976,0.7538088133756166,0.6110442182568336,0.8503076064726085,0.6508883577708988
test_brightness,0.6727241580223434,0.3525441735405098,0.502053290105127,0.7463843319412338,0.823448652913094,0.8095868686430185,0.9189219673153524
test_clean,0.8775691401802055,0.7928081242602426,0.7791010458170795,0.9077672214639863,0.9560918802538134,0.861819969747796,0.9509964753062488
test_color,0.6266219025598365,0.3274835801013286,0.3679200493882526,0.2682123973411127,0.5999376638343332,0.5199974242877001,0.9252034388463257
test_jpeg,0.8433722418371217,0.7170614258401864,0.7289057782196959,0.8389569164775966,0.9138285634333709,0.823488581784187,0.9029025234016675
test_noise,0.36635680620611477,0.43688873738138134,0.42450941009377957,0.8985080668685463,0.9421314983460825,0.8488038623689184,0.7790930334623885
test_occlusion,0.40050617519550713,0.31659492395933786,0.3785927722259955,0.8897253299046481,0.8221319372202267,0.8449683117697635,0.9262556821034678
test_resolution,0.4237726536804632,0.4290735595705336,0.4488908879356114,0.6375134369574984,0.595844311328919,0.8370015928836899,0.6353090195962399
test_rotation,0.8020119679978107,0.6334792768998153,0.638250890974756,0.9003450340937839,0.931151068341653,0.8641418510529255,0.940127595091717
