method,macro_f1,multiclass_gmean,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
gabor_svm,0.6473547623809519,0.5359300033142674,0.08955223880597014,0.27586206896551724,0.5588235294117647,1.0,0.9705882352941176,0.5166666666666667,1.0,0.9830508474576272
polygarbor,0.4082199066385256,0.0,0.014925373134328358,0.1724137931034483,0.0,1.0,0.9852941176470589,0.0,1.0,0.9152542372881356
polygarbor_aug,0.551523423930639,0.38493914806851787,0.3283582089552239,0.5689655172413793,0.04411764705882353,1.0,0.9411764705882353,0.06666666666666667,1.0,0.9322033898305084
resnet18,0.7246696712204068,0.6546458931578893,0.5522388059701493,0.15517241379310345,0.7205882352941176,0.9841269841269841,0.9852941176470589,0.5833333333333334,0.9824561403508771,0.9830508474576272
resnet18_imagenet,0.9044112848218548,0.8972995411605721,0.9104477611940298,0.7068965517241379,0.7058823529411765,0.9841269841269841,0.9558823529411765,0.9833333333333333,1.0,1.0
yolo11n_random,0.7124298904934119,0.0,0.8656716417910447,0.0,0.5588235294117647,0.9365079365079365,0.9264705882352942,0.7,1.0,1.0
yolo11n,0.9045693027523238,0.8986880866349679,0.9104477611940298,0.8448275862068966,0.6176470588235294,1.0,0.9264705882352942,0.9666666666666667,1.0,1.0
