method,clean,noisy,delta,gmean_clean,gmean_noisy
gabor_svm,0.8756017547299352,0.8735065967765552,-0.00209515795338,0.8714776077002235,0.8692553430953357
polygarbor,0.7802214916655392,0.8248085273091407,0.04458703564360145,0.7623790057575974,0.8181888419368457
polygarbor_aug,0.8014379358295276,0.8038183555599498,0.002380419730422245,0.7884210386468858,0.7945507195798763
resnet18,0.9052183436240924,0.8830836999383164,-0.022134643685776,0.8976439302040289,0.8772341725357697
resnet18_imagenet,0.9702941131933871,0.8880762048344395,-0.0822179083589476,0.97067489269681,0.8819859910831124
yolo11n_random,0.8640402292700274,0.8580898195353257,-0.005950409734701734,0.8562886455826935,0.8528247301822981
yolo11n,0.9624340166603458,0.9368937319734516,-0.025540284686894177,0.9627325129875509,0.934716219456567
