method,training_runs,train_s_few10,rss_mb_few10,train_s_full,rss_mb_full,model_mb_few2,model_mb_full,cpu1_median_ms,cpu1_rss_mb
gabor_svm,2026-09-15_svm,0.5127279220032506,406.949888,22.068625552998128,1013.28896,0.007276,0.346935,5.2891420000378275,254.34112
polygarbor,2026-09-12,0.573548638029024,392.040448,21.188544355798513,1240.313856,0.0048235,0.6507645,19.029585004318506,280.137728
resnet18,2026-09-14_cpu,36.91143490897957,1788.70272,914.9613516668323,3106.824192,45.011183,45.008671,20.19344549626112,939.347968
resnet18_imagenet,2026-09-14_cpu,43.67282511794474,2244.481024,2437.267771405983,3527.098368,45.011688,45.011688,20.727178954984993,945.872896
yolo11n_random,2026-09-14_cpu,19.820866642985493,1316.995072,1057.8302485268796,2739.34336,3.202858,3.203818,3.599880961701274,853.286912
yolo11n,2026-09-14_cpu,36.53563327901065,1462.92736,231.11636754998472,2157.248512,3.2055119999999997,3.2037519999999997,3.319493494927883,824.99584
