campaign,method,scenario,seed,path,train_seconds,model_mb,rss_peak_mb,evaluation,macro_f1,multiclass_gmean,balanced_accuracy,accuracy
2026-09-15_svm,gabor_svm,few20,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few20__gabor_svm__seed43,0.8694221689984261,0.03467,422.387712,test_clean,0.752983591692749,0.735882973137219,0.7523275943421506,0.75
2026-09-15_svm,gabor_svm,few2,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few2__gabor_svm__seed42,0.17433693899874925,0.007276,395.93984,train,0.875,0.8408964152537145,0.875,0.875
2026-09-15_svm,gabor_svm,few2,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few2__gabor_svm__seed42,0.17433693899874925,0.007276,395.93984,val_clean,0.4361897841736359,0.27431600928238753,0.4777112588835765,0.496
2026-09-15_svm,gabor_svm,few2,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few2__gabor_svm__seed42,0.17433693899874925,0.007276,395.93984,test_clean,0.4068361488533708,0.25271327241040203,0.45472835261568145,0.436
2026-09-15_svm,gabor_svm,few2,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few2__gabor_svm__seed43,0.17839425800411846,0.007276,393.867264,train,0.9333333333333333,0.9170040432046712,0.9375,0.9375
2026-09-15_svm,gabor_svm,few2,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few2__gabor_svm__seed43,0.17839425800411846,0.007276,393.867264,val_clean,0.46852940392569004,0.36932772713187023,0.49225304892440586,0.478
2026-09-15_svm,gabor_svm,few2,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few2__gabor_svm__seed43,0.17839425800411846,0.007276,393.867264,test_clean,0.45707636159780196,0.3457715452184218,0.46205662929569546,0.454
2026-09-15_svm,gabor_svm,few50,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few50__gabor_svm__seed42,2.1993655239966756,0.073388,467.849216,train,0.8386192968853288,0.8320227428457787,0.8400000000000001,0.84
2026-09-15_svm,gabor_svm,few50,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few50__gabor_svm__seed42,2.1993655239966756,0.073388,467.849216,val_clean,0.8140783764506054,0.812517972213891,0.8179245508634303,0.818
2026-09-15_svm,gabor_svm,few50,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few50__gabor_svm__seed42,2.1993655239966756,0.073388,467.849216,test_clean,0.7749379636244687,0.7619172886405347,0.7733386528951055,0.772
