scenario,gabor_svm,polygarbor,polygarbor_aug,resnet18,resnet18_imagenet,yolo11n_random,yolo11n
few1,0.336 [0.291–0.381],,0.230 [0.130–0.331],0.000 [0.000–0.000],0.000 [0.000–0.000],0.000 [0.000–0.000],0.403 [0.355–0.452]
few2,0.299 [0.253–0.346],0.000 [0.000–0.000],0.000 [0.000–0.000],0.000 [0.000–0.000],0.000 [0.000–0.000],0.000 [0.000–0.000],0.611 [0.550–0.672]
few5,0.518 [0.494–0.543],0.000 [0.000–0.000],0.000 [0.000–0.000],0.000 [0.000–0.000],0.290 [0.000–0.580],0.000 [0.000–0.000],0.743 [0.726–0.760]
few10,0.667 [0.659–0.675],0.175 [0.000–0.351],0.409 [0.344–0.475],0.000 [0.000–0.000],0.378 [0.000–0.755],0.211 [0.000–0.422],0.828 [0.815–0.841]
few20,0.721 [0.707–0.736],0.255 [0.000–0.509],0.549 [0.511–0.587],0.000 [0.000–0.000],0.424 [0.000–0.848],0.687 [0.644–0.731],0.835 [0.811–0.859]
few50,0.759 [0.757–0.762],0.629 [0.619–0.640],0.652 [0.622–0.681],0.424 [0.000–0.848],0.893 [0.891–0.894],0.742 [0.732–0.752],0.882 [0.874–0.890]
few100,0.805 [0.802–0.808],0.681 [0.673–0.688],0.694 [0.667–0.721],0.861 [0.850–0.873],0.861 [0.798–0.924],0.724 [0.660–0.787],0.913 [0.912–0.915]
full,0.874 [0.871–0.876],0.777 [0.762–0.792],0.760 [0.731–0.788],0.901 [0.898–0.904],0.956 [0.940–0.971],0.853 [0.850–0.856],0.950 [0.938–0.963]
